uid,ean_13,name,cost,cost_member,denomination,deposit,group,description
000,0853404002695,"hodo curry tofu nggt",5.99,5.99,usd,0.00,"dairy","Hodo Organic Vegan Thai Curry Nuggets - 8oz"
001,0853404002695,"hodo curry tofu nggt",5.99,5.99,usd,0.00,"dairy","Hodo Organic Vegan Thai Curry Nuggets - 8oz"
002,0000000000000,"tfrky swt itln saus",4.99,4.99,usd,0.00,"dairy","Tofurky Plant-Based Original Sausage (Italian)"
003,0000000000000,"tfrky swt itln saus",4.99,4.99,usd,0.00,"dairy","Tofurky Plant-Based Original Sausage (Italian)"
004,0020188060139,"tofutti sour cream",3.29,2.79,usd,0.00,"dairy","Tofutti Milk-Free Sour Cream"
005,0020188060139,"tofutti sour cream",3.29,2.79,usd,0.00,"dairy","Tofutti Milk-Free Sour Cream"
006,0000000000000,"foodies tand art brg",4.99,4.99,usd,0.00,"frozen food","Foodies Vegan Artichoke Burgers: Tandoori (Frozen)"
007,0855099007269,"alphfd bff ck pt pie",4.50,3.69,usd,0.00,"frozen food","Alpha Foods Handheld Pot Pie Buffalo Chik'n"
008,0855099007269,"alphfd bff ck pt pie",4.50,3.69,usd,0.00,"frozen food","Alpha Foods Handheld Pot Pie Buffalo Chik'n"
009,0855099007269,"alphfd bff ck pt pie",4.50,3.69,usd,0.00,"frozen food","Alpha Foods Handheld Pot Pie Buffalo Chik'n"
010,0896165002436,"fdies fr hrb art brg",4.99,4.99,usd,0.00,"frozen food","Five Star Foodies Burger Artichoke French Herb 7.5 Ounce"
011,0855099007269,"alphfd bff ck pt pie",4.50,3.69,usd,0.00,"frozen food","Alpha Foods Handheld Pot Pie Buffalo Chik'n"
012,0000000000000,"stahl colrfl swt pot",2.99,2.99,usd,0.00,"frozen food",""
013,0000000000000,"stahl colrfl swt pot",2.99,2.99,usd,0.00,"frozen food",""
014,0000000000000,"stahl colrfl swt pot",2.99,2.99,usd,0.00,"frozen food",""
015,0000000000000,"stahlbush gldn beets",2.99,2.99,usd,0.00,"frozen food",""
016,0000000000000,"foodies tand art brg",4.99,4.99,usd,0.00,"frozen food","Foodies Vegan Artichoke Burgers: Tandoori (Frozen)"
017,0000000000000,"ore-ida c/s hashbrwn",3.69,3.69,usd,0.00,"frozen food",""
018,0000000000000,"msf italian sausage",3.69,3.69,usd,0.00,"frozen food","Morningstar Farms Italian Sausage Crumbles"
019,0000000000000,"msf italian sausage",3.69,3.69,usd,0.00,"frozen food","Morningstar Farms Italian Sausage Crumbles"
020,0000000000000,"msf italian sausage",3.69,3.69,usd,0.00,"frozen food","Morningstar Farms Italian Sausage Crumbles"
021,0896165002436,"fdies fr hrb art brg",4.99,4.99,usd,0.00,"frozen food","Five Star Foodies Burger Artichoke French Herb 7.5 Ounce"
022,0000000000000,"texas pete hot sauce",1.79,1.79,usd,0.00,"grocery",""
023,0000000000000,"nellie&jo key lm jcy",4.19,4.19,usd,0.00,"grocery",""
024,0000000000000,"texas pete hot sauce",1.79,1.79,usd,0.00,"grocery",""
025,0000000000000,"mzta slcd jlpn",2.79,2.79,usd,0.00,"grocery",""
026,0000000000000,"prls rstd r ppr hms",3.99,1.99,usd,0.00,"grocery",""
027,0000000000000,"prls rstd r ppr hms",3.99,1.99,usd,0.00,"grocery",""
028,0000000000000,"prls rstd r ppr hms",3.99,1.99,usd,0.00,"grocery",""
029,0000000000000,"ortega gg bl crn tac",2.59,2.59,usd,0.00,"grocery",""
030,0000000000000,"ortega gg bl crn tac",2.59,2.59,usd,0.00,"grocery",""
031,0000000000000,"snyds jlp prtz pcs",3.89,3.89,usd,0.00,"grocery",""
032,0000000000000,"snyds bflo wng pcs",3.89,3.89,usd,0.00,"grocery",""
033,0000000000000,"oreo pnt butter fam",4.59,3.50,usd,0.00,"grocery",""
034,0000000000000,"oreo pnt butter fam",4.59,3.50,usd,0.00,"grocery",""
035,0000000000000,"kvta org pnpl kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Pineapple Kombucha"
036,0000000000000,"kvta lvnd mln kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Lavender-Melon Kombucha"
037,0000000000000,"kvta org pnpl kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Pineapple Kombucha"
038,0000000000000,"kvta org raspbry kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Raspberry Kombucha"
039,0000000000000,"kvta org raspbry kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Raspberry Kombucha"
040,0000000000000,"kvta lvnd mln kmbch",2.99,2.99,usd,0.05,"produce","Kevita Organic Lavender-Melon Kombucha"
041,0000000000000,"fresh exp. cole slaw",1.99,1.25,usd,0.00,"produce",""
042,0000000000000,"fresh exp. cole slaw",1.99,1.25,usd,0.00,"produce",""
043,0000000000000,"fresh exp. cole slaw",1.99,1.25,usd,0.00,"produce",""
